City;MacroRegion;MicroRegion
Marcelino Ramos;Noroeste;Erechim
Mariana Pimentel;Metropolitana;Porto Alegre
Mariano Moro;Noroeste;Erechim
Marques de Souza;Centro Oriental;Lajeado-Estrela
Mata;Centro Ocidental;Santa Maria
Mato Castelhano;Noroeste;Passo Fundo
Mato Leitão;Centro Oriental;Santa Cruz do Sul
Mato Queimado;Noroeste;Cerro Largo
Maximiliano de Almeida;Noroeste;Sananduva
Minas do Leão;Metropolitana;São Jerônimo
Miraguaí;Noroeste;Três Passos
Montauri;Nordeste;Guaporé
Monte Alegre dos Campos;Nordeste;Vacaria
Monte Belo do Sul;Nordeste;Caxias do Sul
Montenegro;Metropolitana;Montenegro
Mormaço;Noroeste;Soledade
Morrinhos do Sul;Metropolitana;Osório
Morro Redondo;Sudeste;Pelotas
Morro Reuter;Metropolitana;Gramado-Canela
Mostardas;Metropolitana;Osório
Muçum;Centro Oriental;Lajeado-Estrela
Muitos Capões;Nordeste;Vacaria
Muliterno;Noroeste;Passo Fundo
Não-Me-Toque;Noroeste;Não-Me-Toque
Nicolau Vergueiro;Noroeste;Passo Fundo
Nonoai;Noroeste;Frederico Westphalen
Nova Alvorada;Nordeste;Guaporé
Nova Araçá;Nordeste;Guaporé
Nova Bassano;Nordeste;Guaporé
Nova Boa Vista;Noroeste;Carazinho
Nova Bréscia;Centro Oriental;Lajeado-Estrela
Nova Candelária;Noroeste;Três Passos
Nova Esperança do Sul;Centro Ocidental;Santa Maria
Nova Hartz;Metropolitana;Porto Alegre
Nova Pádua;Nordeste;Caxias do Sul
Nova Palma;Centro Ocidental;Restinga Seca
Nova Petrópolis;Metropolitana;Gramado-Canela
Nova Prata;Nordeste;Guaporé
Nova Ramada;Noroeste;Ijuí
Nova Roma do Sul;Nordeste;Caxias do Sul
Nova Santa Rita;Metropolitana;Porto Alegre
Novo Barreiro;Noroeste;Carazinho
Novo Cabrais;Centro Oriental;Cachoeira do Sul
Novo Hamburgo;Metropolitana;Porto Alegre
Novo Machado;Noroeste;Santa Rosa
Novo Tiradentes;Noroeste;Frederico Westphalen
Novo Xingu;Noroeste;Frederico Westphalen
Osório;Metropolitana;Osório
Paim Filho;Noroeste;Sananduva
Palmares do Sul;Metropolitana;Osório
Palmeira das Missões;Noroeste;Carazinho
Palmitinho;Noroeste;Frederico Westphalen
Panambi;Noroeste;Ijuí
Pantano Grande;Centro Oriental;Cachoeira do Sul
Paraí;Nordeste;Guaporé
Paraíso do Sul;Centro Oriental;Cachoeira do Sul
Pareci Novo;Metropolitana;Montenegro
Parobé;Metropolitana;Porto Alegre
Passa-Sete;Centro Oriental;Santa Cruz do Sul
Passo do Sobrado;Centro Oriental;Cachoeira do Sul
Passo Fundo;Noroeste;Passo Fundo
Paulo Bento;Noroeste;Erechim
Paverama;Centro Oriental;Lajeado-Estrela
Pedras Altas;Sudeste;Jaguarão
Pedro Osório;Sudeste;Pelotas
Pejuçara;Noroeste;Ijuí
Pelotas;Sudeste;Pelotas
Picada Café;Metropolitana;Gramado-Canela
Pinhal;Noroeste;Carazinho
Pinhal da Serra;Nordeste;Vacaria
Pinhal Grande;Centro Ocidental;Santiago
Pinheirinho do Vale;Noroeste;Frederico Westphalen
Pinheiro Machado;Sudeste;Serras de Sudeste
Pinto Bandeira;Nordeste;Caxias do Sul
Pirapó;Noroeste;Santo Ângelo
Piratini;Sudeste;Serras de Sudeste
Planalto;Noroeste;Frederico Westphalen
Poço das Antas;Metropolitana;Montenegro
Pontão;Noroeste;Passo Fundo
Ponte Preta;Noroeste;Erechim
Portão;Metropolitana;Montenegro
Porto Alegre;Metropolitana;Porto Alegre
Porto Lucena;Noroeste;Santa Rosa
Porto Mauá;Noroeste;Santa Rosa
Porto Vera Cruz;Noroeste;Santa Rosa
Porto Xavier;Noroeste;Cerro Largo
Pouso Novo;Centro Oriental;Lajeado-Estrela
Presidente Lucena;Metropolitana;Gramado-Canela
